nohup: ignoring input
[1] order5big_0007: LINEAR (0.0s)  running={'LINEAR': 1}
[735] order5big_5879: LINEAR (0.0s)  running={'LINEAR': 434, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[736] order5big_5887: LINEAR (0.0s)  running={'LINEAR': 435, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[737] order5big_5895: LINEAR (0.0s)  running={'LINEAR': 436, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[738] order5big_5903: LINEAR (0.0s)  running={'LINEAR': 437, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[739] order5big_5911: LINEAR (0.0s)  running={'LINEAR': 438, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[740] order5big_5919: LINEAR (0.0s)  running={'LINEAR': 439, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[741] order5big_5927: LINEAR (0.0s)  running={'LINEAR': 440, 'SOLVED_FMB': 24, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[742] order5big_5935: SOLVED_FMB (2.2s)  running={'LINEAR': 440, 'SOLVED_FMB': 25, 'THEOREM': 275, 'HARD_NONLINEAR': 2}
[743] order5big_5943: THEOREM (6.3s)  running={'LINEAR': 440, 'SOLVED_FMB': 25, 'THEOREM': 276, 'HARD_NONLINEAR': 2}
[744] order5big_5951: LINEAR (0.0s)  running={'LINEAR': 441, 'SOLVED_FMB': 25, 'THEOREM': 276, 'HARD_NONLINEAR': 2}
[745] order5big_5959: LINEAR (0.0s)  running={'LINEAR': 442, 'SOLVED_FMB': 25, 'THEOREM': 276, 'HARD_NONLINEAR': 2}
[746] order5big_5967: LINEAR (0.0s)  running={'LINEAR': 443, 'SOLVED_FMB': 25, 'THEOREM': 276, 'HARD_NONLINEAR': 2}
[747] order5big_5975: THEOREM (12.6s)  running={'LINEAR': 443, 'SOLVED_FMB': 25, 'THEOREM': 277, 'HARD_NONLINEAR': 2}
[748] order5big_5983: LINEAR (0.0s)  running={'LINEAR': 444, 'SOLVED_FMB': 25, 'THEOREM': 277, 'HARD_NONLINEAR': 2}
[749] order5big_5991: THEOREM (60.2s)  running={'LINEAR': 444, 'SOLVED_FMB': 25, 'THEOREM': 278, 'HARD_NONLINEAR': 2}
[750] order5big_5999: LINEAR (0.0s)  running={'LINEAR': 445, 'SOLVED_FMB': 25, 'THEOREM': 278, 'HARD_NONLINEAR': 2}
[751] order5big_6007: LINEAR (0.0s)  running={'LINEAR': 446, 'SOLVED_FMB': 25, 'THEOREM': 278, 'HARD_NONLINEAR': 2}
[752] order5big_6015: THEOREM (60.2s)  running={'LINEAR': 446, 'SOLVED_FMB': 25, 'THEOREM': 279, 'HARD_NONLINEAR': 2}
[753] order5big_6023: LINEAR (0.0s)  running={'LINEAR': 447, 'SOLVED_FMB': 25, 'THEOREM': 279, 'HARD_NONLINEAR': 2}
[754] order5big_6031: THEOREM (0.2s)  running={'LINEAR': 447, 'SOLVED_FMB': 25, 'THEOREM': 280, 'HARD_NONLINEAR': 2}
[755] order5big_6039: THEOREM (60.2s)  running={'LINEAR': 447, 'SOLVED_FMB': 25, 'THEOREM': 281, 'HARD_NONLINEAR': 2}
[756] order5big_6047: THEOREM (60.2s)  running={'LINEAR': 447, 'SOLVED_FMB': 25, 'THEOREM': 282, 'HARD_NONLINEAR': 2}
[757] order5big_6055: LINEAR (0.0s)  running={'LINEAR': 448, 'SOLVED_FMB': 25, 'THEOREM': 282, 'HARD_NONLINEAR': 2}
[758] order5big_6063: LINEAR (0.0s)  running={'LINEAR': 449, 'SOLVED_FMB': 25, 'THEOREM': 282, 'HARD_NONLINEAR': 2}
[759] order5big_6071: LINEAR (0.0s)  running={'LINEAR': 450, 'SOLVED_FMB': 25, 'THEOREM': 282, 'HARD_NONLINEAR': 2}
[760] order5big_6079: THEOREM (60.5s)  running={'LINEAR': 450, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[761] order5big_6087: LINEAR (0.0s)  running={'LINEAR': 451, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[762] order5big_6095: LINEAR (0.0s)  running={'LINEAR': 452, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[763] order5big_6103: LINEAR (0.0s)  running={'LINEAR': 453, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[764] order5big_6111: LINEAR (0.0s)  running={'LINEAR': 454, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[765] order5big_6119: LINEAR (0.0s)  running={'LINEAR': 455, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[766] order5big_6127: LINEAR (0.0s)  running={'LINEAR': 456, 'SOLVED_FMB': 25, 'THEOREM': 283, 'HARD_NONLINEAR': 2}
[767] order5big_6135: THEOREM (60.2s)  running={'LINEAR': 456, 'SOLVED_FMB': 25, 'THEOREM': 284, 'HARD_NONLINEAR': 2}
[768] order5big_6143: THEOREM (0.7s)  running={'LINEAR': 456, 'SOLVED_FMB': 25, 'THEOREM': 285, 'HARD_NONLINEAR': 2}
[769] order5big_6151: LINEAR (0.0s)  running={'LINEAR': 457, 'SOLVED_FMB': 25, 'THEOREM': 285, 'HARD_NONLINEAR': 2}
[770] order5big_6159: LINEAR (0.0s)  running={'LINEAR': 458, 'SOLVED_FMB': 25, 'THEOREM': 285, 'HARD_NONLINEAR': 2}
[771] order5big_6167: THEOREM (60.7s)  running={'LINEAR': 458, 'SOLVED_FMB': 25, 'THEOREM': 286, 'HARD_NONLINEAR': 2}
[772] order5big_6175: LINEAR (0.0s)  running={'LINEAR': 459, 'SOLVED_FMB': 25, 'THEOREM': 286, 'HARD_NONLINEAR': 2}
[773] order5big_6183: LINEAR (0.0s)  running={'LINEAR': 460, 'SOLVED_FMB': 25, 'THEOREM': 286, 'HARD_NONLINEAR': 2}
[774] order5big_6191: LINEAR (0.0s)  running={'LINEAR': 461, 'SOLVED_FMB': 25, 'THEOREM': 286, 'HARD_NONLINEAR': 2}
[775] order5big_6199: LINEAR (0.0s)  running={'LINEAR': 462, 'SOLVED_FMB': 25, 'THEOREM': 286, 'HARD_NONLINEAR': 2}
[776] order5big_6207: THEOREM (60.3s)  running={'LINEAR': 462, 'SOLVED_FMB': 25, 'THEOREM': 287, 'HARD_NONLINEAR': 2}
[777] order5big_6215: LINEAR (0.0s)  running={'LINEAR': 463, 'SOLVED_FMB': 25, 'THEOREM': 287, 'HARD_NONLINEAR': 2}
[778] order5big_6223: THEOREM (60.2s)  running={'LINEAR': 463, 'SOLVED_FMB': 25, 'THEOREM': 288, 'HARD_NONLINEAR': 2}
[779] order5big_6231: LINEAR (0.0s)  running={'LINEAR': 464, 'SOLVED_FMB': 25, 'THEOREM': 288, 'HARD_NONLINEAR': 2}
[780] order5big_6239: LINEAR (0.0s)  running={'LINEAR': 465, 'SOLVED_FMB': 25, 'THEOREM': 288, 'HARD_NONLINEAR': 2}
[781] order5big_6247: THEOREM (60.2s)  running={'LINEAR': 465, 'SOLVED_FMB': 25, 'THEOREM': 289, 'HARD_NONLINEAR': 2}
[782] order5big_6255: THEOREM (60.2s)  running={'LINEAR': 465, 'SOLVED_FMB': 25, 'THEOREM': 290, 'HARD_NONLINEAR': 2}
[783] order5big_6263: THEOREM (60.3s)  running={'LINEAR': 465, 'SOLVED_FMB': 25, 'THEOREM': 291, 'HARD_NONLINEAR': 2}
[784] order5big_6271: LINEAR (0.0s)  running={'LINEAR': 466, 'SOLVED_FMB': 25, 'THEOREM': 291, 'HARD_NONLINEAR': 2}
[785] order5big_6279: THEOREM (60.2s)  running={'LINEAR': 466, 'SOLVED_FMB': 25, 'THEOREM': 292, 'HARD_NONLINEAR': 2}
[786] order5big_6287: LINEAR (0.0s)  running={'LINEAR': 467, 'SOLVED_FMB': 25, 'THEOREM': 292, 'HARD_NONLINEAR': 2}
[787] order5big_6295: THEOREM (60.2s)  running={'LINEAR': 467, 'SOLVED_FMB': 25, 'THEOREM': 293, 'HARD_NONLINEAR': 2}
[788] order5big_6303: THEOREM (62.1s)  running={'LINEAR': 467, 'SOLVED_FMB': 25, 'THEOREM': 294, 'HARD_NONLINEAR': 2}
[789] order5big_6311: LINEAR (0.0s)  running={'LINEAR': 468, 'SOLVED_FMB': 25, 'THEOREM': 294, 'HARD_NONLINEAR': 2}
[790] order5big_6319: THEOREM (60.2s)  running={'LINEAR': 468, 'SOLVED_FMB': 25, 'THEOREM': 295, 'HARD_NONLINEAR': 2}
[791] order5big_6327: THEOREM (60.4s)  running={'LINEAR': 468, 'SOLVED_FMB': 25, 'THEOREM': 296, 'HARD_NONLINEAR': 2}
[792] order5big_6335: LINEAR (0.0s)  running={'LINEAR': 469, 'SOLVED_FMB': 25, 'THEOREM': 296, 'HARD_NONLINEAR': 2}
[793] order5big_6343: THEOREM (60.2s)  running={'LINEAR': 469, 'SOLVED_FMB': 25, 'THEOREM': 297, 'HARD_NONLINEAR': 2}
[794] order5big_6351: LINEAR (0.0s)  running={'LINEAR': 470, 'SOLVED_FMB': 25, 'THEOREM': 297, 'HARD_NONLINEAR': 2}
[795] order5big_6359: THEOREM (60.3s)  running={'LINEAR': 470, 'SOLVED_FMB': 25, 'THEOREM': 298, 'HARD_NONLINEAR': 2}
[796] order5big_6367: THEOREM (60.2s)  running={'LINEAR': 470, 'SOLVED_FMB': 25, 'THEOREM': 299, 'HARD_NONLINEAR': 2}
[797] order5big_6375: LINEAR (0.0s)  running={'LINEAR': 471, 'SOLVED_FMB': 25, 'THEOREM': 299, 'HARD_NONLINEAR': 2}
[798] order5big_6383: THEOREM (61.2s)  running={'LINEAR': 471, 'SOLVED_FMB': 25, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[799] order5big_6391: LINEAR (0.0s)  running={'LINEAR': 472, 'SOLVED_FMB': 25, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[800] order5big_6399: LINEAR (0.0s)  running={'LINEAR': 473, 'SOLVED_FMB': 25, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[801] order5big_6407: SOLVED_FMB (0.3s)  running={'LINEAR': 473, 'SOLVED_FMB': 26, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[802] order5big_6415: LINEAR (0.0s)  running={'LINEAR': 474, 'SOLVED_FMB': 26, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[803] order5big_6423: SOLVED_FMB (1.6s)  running={'LINEAR': 474, 'SOLVED_FMB': 27, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[804] order5big_6431: LINEAR (0.0s)  running={'LINEAR': 475, 'SOLVED_FMB': 27, 'THEOREM': 300, 'HARD_NONLINEAR': 2}
[805] order5big_6439: THEOREM (60.2s)  running={'LINEAR': 475, 'SOLVED_FMB': 27, 'THEOREM': 301, 'HARD_NONLINEAR': 2}
[806] order5big_6447: LINEAR (0.0s)  running={'LINEAR': 476, 'SOLVED_FMB': 27, 'THEOREM': 301, 'HARD_NONLINEAR': 2}
[807] order5big_6455: THEOREM (60.2s)  running={'LINEAR': 476, 'SOLVED_FMB': 27, 'THEOREM': 302, 'HARD_NONLINEAR': 2}
[808] order5big_6463: LINEAR (0.0s)  running={'LINEAR': 477, 'SOLVED_FMB': 27, 'THEOREM': 302, 'HARD_NONLINEAR': 2}
[809] order5big_6471: THEOREM (60.3s)  running={'LINEAR': 477, 'SOLVED_FMB': 27, 'THEOREM': 303, 'HARD_NONLINEAR': 2}
[810] order5big_6479: THEOREM (60.2s)  running={'LINEAR': 477, 'SOLVED_FMB': 27, 'THEOREM': 304, 'HARD_NONLINEAR': 2}
[811] order5big_6487: LINEAR (0.0s)  running={'LINEAR': 478, 'SOLVED_FMB': 27, 'THEOREM': 304, 'HARD_NONLINEAR': 2}
[812] order5big_6495: THEOREM (60.3s)  running={'LINEAR': 478, 'SOLVED_FMB': 27, 'THEOREM': 305, 'HARD_NONLINEAR': 2}
[813] order5big_6503: SOLVED_FMB (0.2s)  running={'LINEAR': 478, 'SOLVED_FMB': 28, 'THEOREM': 305, 'HARD_NONLINEAR': 2}
[814] order5big_6511: THEOREM (60.2s)  running={'LINEAR': 478, 'SOLVED_FMB': 28, 'THEOREM': 306, 'HARD_NONLINEAR': 2}
[815] order5big_6519: SOLVED_FMB (0.2s)  running={'LINEAR': 478, 'SOLVED_FMB': 29, 'THEOREM': 306, 'HARD_NONLINEAR': 2}
[816] order5big_6527: THEOREM (60.2s)  running={'LINEAR': 478, 'SOLVED_FMB': 29, 'THEOREM': 307, 'HARD_NONLINEAR': 2}
[817] order5big_6535: LINEAR (0.0s)  running={'LINEAR': 479, 'SOLVED_FMB': 29, 'THEOREM': 307, 'HARD_NONLINEAR': 2}
[818] order5big_6543: THEOREM (60.2s)  running={'LINEAR': 479, 'SOLVED_FMB': 29, 'THEOREM': 308, 'HARD_NONLINEAR': 2}
[819] order5big_6551: LINEAR (0.0s)  running={'LINEAR': 480, 'SOLVED_FMB': 29, 'THEOREM': 308, 'HARD_NONLINEAR': 2}
[820] order5big_6559: THEOREM (60.3s)  running={'LINEAR': 480, 'SOLVED_FMB': 29, 'THEOREM': 309, 'HARD_NONLINEAR': 2}
[821] order5big_6567: LINEAR (0.0s)  running={'LINEAR': 481, 'SOLVED_FMB': 29, 'THEOREM': 309, 'HARD_NONLINEAR': 2}
[822] order5big_6575: THEOREM (61.7s)  running={'LINEAR': 481, 'SOLVED_FMB': 29, 'THEOREM': 310, 'HARD_NONLINEAR': 2}
[823] order5big_6583: THEOREM (23.3s)  running={'LINEAR': 481, 'SOLVED_FMB': 29, 'THEOREM': 311, 'HARD_NONLINEAR': 2}
[824] order5big_6591: THEOREM (60.3s)  running={'LINEAR': 481, 'SOLVED_FMB': 29, 'THEOREM': 312, 'HARD_NONLINEAR': 2}
[825] order5big_6599: THEOREM (60.7s)  running={'LINEAR': 481, 'SOLVED_FMB': 29, 'THEOREM': 313, 'HARD_NONLINEAR': 2}
[826] order5big_6607: LINEAR (0.0s)  running={'LINEAR': 482, 'SOLVED_FMB': 29, 'THEOREM': 313, 'HARD_NONLINEAR': 2}
[827] order5big_6615: THEOREM (60.2s)  running={'LINEAR': 482, 'SOLVED_FMB': 29, 'THEOREM': 314, 'HARD_NONLINEAR': 2}
[828] order5big_6623: LINEAR (0.0s)  running={'LINEAR': 483, 'SOLVED_FMB': 29, 'THEOREM': 314, 'HARD_NONLINEAR': 2}
[829] order5big_6631: THEOREM (60.3s)  running={'LINEAR': 483, 'SOLVED_FMB': 29, 'THEOREM': 315, 'HARD_NONLINEAR': 2}
[830] order5big_6639: SOLVED_FMB (0.1s)  running={'LINEAR': 483, 'SOLVED_FMB': 30, 'THEOREM': 315, 'HARD_NONLINEAR': 2}
[831] order5big_6647: LINEAR (0.0s)  running={'LINEAR': 484, 'SOLVED_FMB': 30, 'THEOREM': 315, 'HARD_NONLINEAR': 2}
[832] order5big_6655: LINEAR (0.0s)  running={'LINEAR': 485, 'SOLVED_FMB': 30, 'THEOREM': 315, 'HARD_NONLINEAR': 2}
[833] order5big_6663: THEOREM (60.2s)  running={'LINEAR': 485, 'SOLVED_FMB': 30, 'THEOREM': 316, 'HARD_NONLINEAR': 2}
[834] order5big_6671: HARD_NONLINEAR (60.1s)  running={'LINEAR': 485, 'SOLVED_FMB': 30, 'THEOREM': 316, 'HARD_NONLINEAR': 3}
[835] order5big_6679: THEOREM (60.3s)  running={'LINEAR': 485, 'SOLVED_FMB': 30, 'THEOREM': 317, 'HARD_NONLINEAR': 3}
[836] order5big_6687: THEOREM (60.6s)  running={'LINEAR': 485, 'SOLVED_FMB': 30, 'THEOREM': 318, 'HARD_NONLINEAR': 3}
[837] order5big_6695: LINEAR (0.0s)  running={'LINEAR': 486, 'SOLVED_FMB': 30, 'THEOREM': 318, 'HARD_NONLINEAR': 3}
[838] order5big_6703: THEOREM (60.2s)  running={'LINEAR': 486, 'SOLVED_FMB': 30, 'THEOREM': 319, 'HARD_NONLINEAR': 3}
[839] order5big_6711: THEOREM (60.6s)  running={'LINEAR': 486, 'SOLVED_FMB': 30, 'THEOREM': 320, 'HARD_NONLINEAR': 3}
[840] order5big_6719: THEOREM (73.6s)  running={'LINEAR': 486, 'SOLVED_FMB': 30, 'THEOREM': 321, 'HARD_NONLINEAR': 3}
[841] order5big_6727: THEOREM (60.2s)  running={'LINEAR': 486, 'SOLVED_FMB': 30, 'THEOREM': 322, 'HARD_NONLINEAR': 3}
[842] order5big_6735: LINEAR (0.0s)  running={'LINEAR': 487, 'SOLVED_FMB': 30, 'THEOREM': 322, 'HARD_NONLINEAR': 3}
[843] order5big_6743: THEOREM (60.2s)  running={'LINEAR': 487, 'SOLVED_FMB': 30, 'THEOREM': 323, 'HARD_NONLINEAR': 3}
[844] order5big_6751: LINEAR (0.0s)  running={'LINEAR': 488, 'SOLVED_FMB': 30, 'THEOREM': 323, 'HARD_NONLINEAR': 3}
[845] order5big_6759: LINEAR (0.0s)  running={'LINEAR': 489, 'SOLVED_FMB': 30, 'THEOREM': 323, 'HARD_NONLINEAR': 3}
[846] order5big_6767: LINEAR (0.0s)  running={'LINEAR': 490, 'SOLVED_FMB': 30, 'THEOREM': 323, 'HARD_NONLINEAR': 3}
[847] order5big_6775: THEOREM (60.2s)  running={'LINEAR': 490, 'SOLVED_FMB': 30, 'THEOREM': 324, 'HARD_NONLINEAR': 3}
[848] order5big_6783: LINEAR (0.0s)  running={'LINEAR': 491, 'SOLVED_FMB': 30, 'THEOREM': 324, 'HARD_NONLINEAR': 3}
[849] order5big_6791: LINEAR (0.0s)  running={'LINEAR': 492, 'SOLVED_FMB': 30, 'THEOREM': 324, 'HARD_NONLINEAR': 3}
[850] order5big_6799: LINEAR (0.0s)  running={'LINEAR': 493, 'SOLVED_FMB': 30, 'THEOREM': 324, 'HARD_NONLINEAR': 3}
[851] order5big_6807: LINEAR (0.0s)  running={'LINEAR': 494, 'SOLVED_FMB': 30, 'THEOREM': 324, 'HARD_NONLINEAR': 3}
[852] order5big_6815: THEOREM (60.5s)  running={'LINEAR': 494, 'SOLVED_FMB': 30, 'THEOREM': 325, 'HARD_NONLINEAR': 3}
[853] order5big_6823: LINEAR (0.0s)  running={'LINEAR': 495, 'SOLVED_FMB': 30, 'THEOREM': 325, 'HARD_NONLINEAR': 3}
[854] order5big_6831: THEOREM (60.2s)  running={'LINEAR': 495, 'SOLVED_FMB': 30, 'THEOREM': 326, 'HARD_NONLINEAR': 3}
[855] order5big_6839: LINEAR (0.0s)  running={'LINEAR': 496, 'SOLVED_FMB': 30, 'THEOREM': 326, 'HARD_NONLINEAR': 3}
[856] order5big_6847: THEOREM (60.3s)  running={'LINEAR': 496, 'SOLVED_FMB': 30, 'THEOREM': 327, 'HARD_NONLINEAR': 3}
[857] order5big_6855: THEOREM (60.4s)  running={'LINEAR': 496, 'SOLVED_FMB': 30, 'THEOREM': 328, 'HARD_NONLINEAR': 3}
[858] order5big_6863: LINEAR (0.0s)  running={'LINEAR': 497, 'SOLVED_FMB': 30, 'THEOREM': 328, 'HARD_NONLINEAR': 3}
[859] order5big_6871: THEOREM (60.2s)  running={'LINEAR': 497, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[860] order5big_6879: LINEAR (0.0s)  running={'LINEAR': 498, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[861] order5big_6887: LINEAR (0.0s)  running={'LINEAR': 499, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[862] order5big_6895: LINEAR (0.0s)  running={'LINEAR': 500, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[863] order5big_6903: LINEAR (0.0s)  running={'LINEAR': 501, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[864] order5big_6911: LINEAR (0.0s)  running={'LINEAR': 502, 'SOLVED_FMB': 30, 'THEOREM': 329, 'HARD_NONLINEAR': 3}
[865] order5big_6919: THEOREM (60.2s)  running={'LINEAR': 502, 'SOLVED_FMB': 30, 'THEOREM': 330, 'HARD_NONLINEAR': 3}
[866] order5big_6927: LINEAR (0.0s)  running={'LINEAR': 503, 'SOLVED_FMB': 30, 'THEOREM': 330, 'HARD_NONLINEAR': 3}
[867] order5big_6935: LINEAR (0.0s)  running={'LINEAR': 504, 'SOLVED_FMB': 30, 'THEOREM': 330, 'HARD_NONLINEAR': 3}
[868] order5big_6943: LINEAR (0.0s)  running={'LINEAR': 505, 'SOLVED_FMB': 30, 'THEOREM': 330, 'HARD_NONLINEAR': 3}
[869] order5big_6951: THEOREM (60.7s)  running={'LINEAR': 505, 'SOLVED_FMB': 30, 'THEOREM': 331, 'HARD_NONLINEAR': 3}
[870] order5big_6959: LINEAR (0.0s)  running={'LINEAR': 506, 'SOLVED_FMB': 30, 'THEOREM': 331, 'HARD_NONLINEAR': 3}
[871] order5big_6967: THEOREM (60.2s)  running={'LINEAR': 506, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[872] order5big_6975: LINEAR (0.0s)  running={'LINEAR': 507, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[873] order5big_6983: LINEAR (0.0s)  running={'LINEAR': 508, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[874] order5big_6991: LINEAR (0.0s)  running={'LINEAR': 509, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[875] order5big_6999: LINEAR (0.0s)  running={'LINEAR': 510, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[876] order5big_7007: LINEAR (0.0s)  running={'LINEAR': 511, 'SOLVED_FMB': 30, 'THEOREM': 332, 'HARD_NONLINEAR': 3}
[877] order5big_7015: THEOREM (60.5s)  running={'LINEAR': 511, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[878] order5big_7023: LINEAR (0.0s)  running={'LINEAR': 512, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[879] order5big_7031: LINEAR (0.0s)  running={'LINEAR': 513, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[880] order5big_7039: LINEAR (0.0s)  running={'LINEAR': 514, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[881] order5big_7047: LINEAR (0.0s)  running={'LINEAR': 515, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[882] order5big_7055: LINEAR (0.0s)  running={'LINEAR': 516, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[883] order5big_7063: LINEAR (0.0s)  running={'LINEAR': 517, 'SOLVED_FMB': 30, 'THEOREM': 333, 'HARD_NONLINEAR': 3}
[884] order5big_7071: THEOREM (60.7s)  running={'LINEAR': 517, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[885] order5big_7079: LINEAR (0.0s)  running={'LINEAR': 518, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[886] order5big_7087: LINEAR (0.0s)  running={'LINEAR': 519, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[887] order5big_7095: LINEAR (0.0s)  running={'LINEAR': 520, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[888] order5big_7103: LINEAR (0.0s)  running={'LINEAR': 521, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[889] order5big_7111: LINEAR (0.0s)  running={'LINEAR': 522, 'SOLVED_FMB': 30, 'THEOREM': 334, 'HARD_NONLINEAR': 3}
[890] order5big_7119: THEOREM (60.1s)  running={'LINEAR': 522, 'SOLVED_FMB': 30, 'THEOREM': 335, 'HARD_NONLINEAR': 3}
[891] order5big_7127: LINEAR (0.0s)  running={'LINEAR': 523, 'SOLVED_FMB': 30, 'THEOREM': 335, 'HARD_NONLINEAR': 3}
[892] order5big_7135: LINEAR (0.0s)  running={'LINEAR': 524, 'SOLVED_FMB': 30, 'THEOREM': 335, 'HARD_NONLINEAR': 3}
[893] order5big_7143: LINEAR (0.0s)  running={'LINEAR': 525, 'SOLVED_FMB': 30, 'THEOREM': 335, 'HARD_NONLINEAR': 3}
[894] order5big_7151: THEOREM (60.7s)  running={'LINEAR': 525, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[895] order5big_7159: LINEAR (0.0s)  running={'LINEAR': 526, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[896] order5big_7167: LINEAR (0.0s)  running={'LINEAR': 527, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[897] order5big_7175: LINEAR (0.0s)  running={'LINEAR': 528, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[898] order5big_7183: LINEAR (0.0s)  running={'LINEAR': 529, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[899] order5big_7191: LINEAR (0.0s)  running={'LINEAR': 530, 'SOLVED_FMB': 30, 'THEOREM': 336, 'HARD_NONLINEAR': 3}
[900] order5big_7199: THEOREM (60.2s)  running={'LINEAR': 530, 'SOLVED_FMB': 30, 'THEOREM': 337, 'HARD_NONLINEAR': 3}
[901] order5big_7207: THEOREM (60.5s)  running={'LINEAR': 530, 'SOLVED_FMB': 30, 'THEOREM': 338, 'HARD_NONLINEAR': 3}
[902] order5big_7215: LINEAR (0.0s)  running={'LINEAR': 531, 'SOLVED_FMB': 30, 'THEOREM': 338, 'HARD_NONLINEAR': 3}
[903] order5big_7223: LINEAR (0.0s)  running={'LINEAR': 532, 'SOLVED_FMB': 30, 'THEOREM': 338, 'HARD_NONLINEAR': 3}
[904] order5big_7231: LINEAR (0.0s)  running={'LINEAR': 533, 'SOLVED_FMB': 30, 'THEOREM': 338, 'HARD_NONLINEAR': 3}
[905] order5big_7239: THEOREM (60.2s)  running={'LINEAR': 533, 'SOLVED_FMB': 30, 'THEOREM': 339, 'HARD_NONLINEAR': 3}
[906] order5big_7247: LINEAR (0.0s)  running={'LINEAR': 534, 'SOLVED_FMB': 30, 'THEOREM': 339, 'HARD_NONLINEAR': 3}
[907] order5big_7255: THEOREM (60.2s)  running={'LINEAR': 534, 'SOLVED_FMB': 30, 'THEOREM': 340, 'HARD_NONLINEAR': 3}
[908] order5big_7263: SOLVED_FMB (0.3s)  running={'LINEAR': 534, 'SOLVED_FMB': 31, 'THEOREM': 340, 'HARD_NONLINEAR': 3}
[909] order5big_7271: THEOREM (60.4s)  running={'LINEAR': 534, 'SOLVED_FMB': 31, 'THEOREM': 341, 'HARD_NONLINEAR': 3}
[910] order5big_7279: THEOREM (60.2s)  running={'LINEAR': 534, 'SOLVED_FMB': 31, 'THEOREM': 342, 'HARD_NONLINEAR': 3}
[911] order5big_7287: LINEAR (0.9s)  running={'LINEAR': 535, 'SOLVED_FMB': 31, 'THEOREM': 342, 'HARD_NONLINEAR': 3}
[912] order5big_7295: THEOREM (61.7s)  running={'LINEAR': 535, 'SOLVED_FMB': 31, 'THEOREM': 343, 'HARD_NONLINEAR': 3}
